label#,Nstg,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8
A.1,1,-3.296,-2.1575,3.4142,0.1423,4.8103,0.82986,-0.68751,0.48391
A.10,1,5.5716,0.27309,-1.0926,-1.0881,2.3586,0.91611,0.71627,3.0364
A.111,2,-1.4714,2.0751,5.5921,2.3486,4.5206,-0.1991,-0.086574,0.4861
A.350,2,-0.78996,-0.25623,-0.22965,7.2443,-0.028481,1.4968,0.8792,-1.4909
A.152,2,4.7031,-0.39228,2.656,1.0542,2.5514,-1.437,-0.1877,0.88436
A.160,2,0.33174,3.6724,7.0058,1.3703,-1.5987,-0.39002,2.1014,-0.99609
A.155,2,-1.7639,0.47162,3.3121,-2.4485,0.61019,0.32371,1.8731,3.5644
A.238,2,4.8627,0.65746,2.2475,-0.45633,0.53175,-1.9804,0.77533,1.4555
A.120,2,6.2929,1.8719,-0.10937,-0.38638,0.35104,0.83319,1.521,3.7417
A.384,2,-1.7836,-0.17523,0.79754,5.2341,1.7173,2.3396,-3.2227,0.82263
A.420,2,2.1411,1.4529,0.52455,-0.058622,2.3993,1.9093,0.438,-4.5748
A.427,2,6.8801,0.62133,-2.6068,1.3045,1.0104,3.8866,4.3164,0.26448
A.330,2,3.7036,7.1574,-1.1683,3.9389,-4.0517,-4.0933,1.4258,-2.0079
A.385,2,2.6414,3.0757,2.4264,3.1766,0.63365,-0.17845,3.9846,-0.79879
A.399,2,-2.5906,1.7958,-2.3116,1.6154,4.2373,0.15653,-1.2815,0.86192
A.102,2,0.37799,5.1898,-0.11166,-4.3817,1.6303,2.1939,-0.65762,-2.1389
A.393,2,4.5896,-1.7979,0.15276,-2.196,-0.037378,-1.8937,0.68006,3.236
A.107,2,3.4886,-1.8243,-0.028226,-0.26257,1.9521,0.6396,2.6125,3.4892
A.310,2,1.5389,3.8191,-3.2504,-0.47704,-0.66606,-0.373,3.6243,-1.0252
A.52,2,2.0956,-1.7169,4.9361,1.7575,1.5112,3.6659,0.68579,-0.20831
A.135,2,-1.9765,3.3618,-2.2166,3.0862,3.3012,0.73912,0.97666,1.3561
A.105,2,3.4011,-2.0235,0.98524,-1.0482,2.3236,-0.11246,1.0365,1.1142
A.244,2,-1.5452,6.057,-1.1241,-2.5622,1.1048,1.8191,3.6643,-0.44962
A.148,2,0.70285,4.5944,2.4773,2.4817,0.060173,2.9229,-3.4416,-1.6406
A.245,2,-1.5797,2.3498,-1.5825,3.294,1.6278,-4.4513,-2.7363,0.48931
A.146,2,0.11306,6.5132,0.16512,2.6668,2.2943,-1.4889,-2.4106,1.8415
A.165,2,-1.9044,-1.1055,3.6135,1.3709,2.1078,1.0113,4.5113,3.8188
A.166,2,-0.5241,4.1962,5.9728,2.4059,1.4997,-0.60978,-0.40427,0.22317
A.182,2,2.909,-3.2855,0.89111,-0.14147,4.685,1.7727,0.80965,1.3939
A.254,2,-1.8872,1.3,2.7218,-0.36179,0.93373,-2.6153,-1.1439,1.3582
A.154,2,1.8111,7.0556,4.2,3.1959,0.40781,0.3627,2.5299,1.9188
A.278,2,1.7277,4.3404,-0.35527,7.5787,2.5228,-0.79571,3.6062,1.7295
A.257,2,3.0891,8.9866,4.3987,3.5702,-4.2099,-0.47087,-4.3013,0.36027
A.368,2,0.2328,1.2762,1.8617,2.1794,-2.1513,-2.7621,1.4574,-2.9951
A.249,2,3.496,-0.71336,1.7212,-0.57573,2.8159,-0.27036,2.6418,2.3673
A.30,2,5.6797,1.9476,0.43517,1.292,2.6237,-0.74941,-1.5312,-1.3174
A.219,2,3.4599,-1.248,6.4807,1.4708,1.4894,2.0578,-1.717,-0.30468
A.323,2,0.22284,3.6791,2.7459,3.7255,1.6415,5.9439,-2.6386,-0.47825
A.151,2,-1.6582,2.0659,5.6129,0.28031,-1.8673,-0.22819,2.7929,-0.35969
A.21,2,4.8453,0.29052,2.9193,-0.36919,1.3282,-2.2844,-2.0261,0.73562
A.226,2,6.1692,0.18727,-2.0239,-2.9299,-1.9772,-1.1524,0.65568,2.803
A.380,2,3.9055,-0.43084,-1.479,2.2187,1.408,0.003411,2.0806,-0.72099
A.378,2,3.3834,3.9744,-0.3794,5.6074,-1.9108,1.127,-0.078749,-1.8141
A.222,2,2.1561,10.01,0.74552,-2.9349,-0.08166,0.38169,-2.2796,-3.8406
A.231,2,0.2798,3.6818,0.5936,0.24746,-2.9202,-2.464,1.3852,3.0607
A.248,2,4.2547,-0.1608,1.2216,-0.82949,0.93857,-0.2216,2.3901,3.8585
A.351,2,-1.767,3.517,5.9389,2.9075,-0.019681,1.9888,4.3187,-1.3025
A.355,2,0.68642,2.9367,-0.84416,6.8935,1.7713,-1.0521,2.0618,0.17946
A.370,2,3.417,-1.0081,-2.156,3.2208,0.792,-1.1633,1.2658,-1.4489
A.296,2,6.2509,0.92407,-5.2658,0.93649,-0.86045,1.214,2.0065,-0.56333
A.85,2,7.1149,1.9563,1.1748,0.25396,1.3562,0.29546,-0.645,2.4092
A.86,2,-1.9893,-0.30924,4.8342,-1.1993,-0.59037,0.41979,2.7384,0.60146
A.87,2,5.1941,-0.59781,-1.2973,0.61801,1.7894,0.8416,0.40747,2.3374
A.80,2,-0.082272,4.4575,-0.50956,-4.1944,1.244,2.1865,0.10433,-0.73567
A.391,2,5.5541,-0.42646,-4.3857,-0.41969,-0.15203,-0.5612,-1.901,-3.7045
A.83,2,4.7017,0.33061,2.3243,0.45152,0.26827,-4.1366,-2.0674,-1.032
A.280,2,-0.88089,-1.2345,1.6774,4.902,0.70816,0.60802,3.1331,-3.0752
A.36,2,0.29704,6.4822,0.27973,-3.2428,0.098465,-0.029761,1.2054,-0.8137
A.291,2,2.3403,-4.4408,-0.24356,3.0284,2.2425,2.8972,0.71722,-5.1071
A.200,2,1.5828,7.6218,0.89683,-1.8463,0.4158,2.2991,2.7178,0.35639
A.426,2,3.0026,-0.57323,1.5027,3.9721,-0.50203,1.0182,0.66144,-3.0924
A.372,2,2.9791,-1.8388,-2.85,3.9167,2.9502,-1.203,1.5914,-4.2597
A.375,2,-0.41663,0.52154,-1.4638,2.2297,0.29409,0.43754,4.9983,0.089562
A.423,2,-1.0187,2.1235,4.7901,-0.31195,-0.9891,1.8707,5.7931,1.6527
A.189,2,-1.1793,5.3632,-1.209,-3.0459,2.1811,1.756,1.7943,-1.4037
A.16,2,-1.7187,1.2294,-0.30638,2.3529,0.59901,5.6698,-1.3062,1.5274
A.26,2,-0.6666,3.7966,0.32973,1.3718,4.128,0.87239,-1.3366,3.9774
A.424,2,2.8855,-4.3532,1.9829,-1.1282,-0.50083,3.7319,3.5007,3.2818
A.410,2,-0.3052,3.6886,-1.3809,2.382,2.377,-0.087958,1.1509,3.3914
A.188,2,-4.0749,-1.6361,0.083508,0.34175,2.8477,0.18512,2.4354,2.1696
A.170,2,0.61233,-0.65652,3.5008,-0.44522,1.2402,2.7405,-5.9204,-1.0085
A.169,2,0.36449,5.324,1.4669,2.8331,1.071,-2.6358,-2.6424,2.5041
